in.comstock_building_type_group,in.census_division_name,in.state,utility,sample_n,calc.weighted.electricity.cooling.energy_consumption..tbtu,calc.weighted.electricity.exterior_lighting.energy_consumption..tbtu,calc.weighted.electricity.fans.energy_consumption..tbtu,calc.weighted.electricity.heat_recovery.energy_consumption..tbtu,calc.weighted.electricity.heat_rejection.energy_consumption..tbtu,calc.weighted.electricity.heating.energy_consumption..tbtu,calc.weighted.electricity.interior_equipment.energy_consumption..tbtu,calc.weighted.electricity.interior_lighting.energy_consumption..tbtu,calc.weighted.electricity.net.energy_consumption..tbtu,calc.weighted.electricity.pumps.energy_consumption..tbtu,calc.weighted.electricity.purchased.energy_consumption..tbtu,calc.weighted.electricity.pv.energy_consumption..tbtu,calc.weighted.electricity.refrigeration.energy_consumption..tbtu,calc.weighted.electricity.total.energy_consumption..tbtu,calc.weighted.electricity.water_systems.energy_consumption..tbtu,weight,in.sqft..ft2,calc.weighted.sqft..ft2,percent.calc.weighted.electricity.cooling.energy_consumption..tbtu,percent.calc.weighted.electricity.exterior_lighting.energy_consumption..tbtu,percent.calc.weighted.electricity.fans.energy_consumption..tbtu,percent.calc.weighted.electricity.heat_recovery.energy_consumption..tbtu,percent.calc.weighted.electricity.heat_rejection.energy_consumption..tbtu,percent.calc.weighted.electricity.heating.energy_consumption..tbtu,percent.calc.weighted.electricity.interior_equipment.energy_consumption..tbtu,percent.calc.weighted.electricity.interior_lighting.energy_consumption..tbtu,percent.calc.weighted.electricity.net.energy_consumption..tbtu,percent.calc.weighted.electricity.pumps.energy_consumption..tbtu,percent.calc.weighted.electricity.purchased.energy_consumption..tbtu,percent.calc.weighted.electricity.pv.energy_consumption..tbtu,percent.calc.weighted.electricity.refrigeration.energy_consumption..tbtu,percent.calc.weighted.electricity.total.energy_consumption..tbtu,percent.calc.weighted.electricity.water_systems.energy_consumption..tbtu
Education,South Atlantic,VA,Dominion,4121,4.17254253212256,0.49799593832916517,2.3048271293893974,0.11800761360520615,0.04774841401438286,1.9847786897785618,1.3647352603834837,1.4993409447458559,13.14042563864712,0.4429297356733411,13.14042563864712,0.0,0.3151434870200359,13.14042563864712,0.39237140665844056,10762.681321738219,253581000.0,461470087.330929,0.31753480799364325,0.03789800665699263,0.17539973154375632,0.008980501610095157,0.0036337037572017968,0.15104371383078774,0.10385776670503581,0.11410139868956493,1.0,0.0337074116054998,1.0,0.0,0.023982745740988166,1.0,0.029859870406666475
Food Sales,South Atlantic,VA,Dominion,935,0.2638450654939595,0.030181959356216512,0.30872528719887415,0.002555492402034493,0.0,0.2044873160191494,0.6251268936914305,0.22819532086030048,2.6611920707976155,0.0,2.6611920707976155,0.0,0.9946719904623915,2.6611920707976155,0.003402504097394857,559.7918093159228,38927000.0,22058674.770816606,0.09914544252150861,0.011341518595149857,0.11601014845438896,0.000960281082330355,0.0,0.07684049500337653,0.23490483853127772,0.0857492863308831,1.0,0.0,1.0,0.0,0.37376933494479686,1.0,0.0012785638942532452
Food Service,South Atlantic,VA,Dominion,4807,0.8903918068002049,0.12327729102723685,0.9522532875235732,0.010271917764292812,0.0,0.5082370867416462,1.2408772476357075,0.2845998059983381,4.998617144701235,0.004436841475380192,4.998617144701235,0.0,0.355486540235079,4.998617144701235,0.628767490821159,9352.689039147252,27453500.0,34003163.388368234,0.17812762630641982,0.024662279078107925,0.19050334521678772,0.002054951893081373,0.0,0.10167553785958602,0.24824410666279864,0.056935707968758326,1.0,0.0008876137833607539,1.0,0.0,0.07111697694469582,1.0,0.12578828756422794
Healthcare,South Atlantic,VA,Dominion,903,1.4480504354107093,0.14846809854235324,1.0351275190488611,0.0014769083542136353,0.0367934962045035,0.42624975339220794,2.189170891427148,0.8315676495301462,6.460056995094194,0.15629893215129184,6.460056995094194,0.0,0.01717973250092016,6.460056995094194,0.16967921105497424,3920.832522653385,33356500.0,103368464.42030361,0.2241544364872272,0.02298247502384279,0.16023504434015723,0.00022862156716809282,0.005695537397339481,0.06598235181452804,0.33887795310314095,0.1287245066354126,1.0,0.02419466767398278,1.0,0.0,0.0026593778528527768,1.0,0.026265900004261516
Lodging,South Atlantic,VA,Dominion,3054,2.189159011068297,0.22911518965346434,0.9292826092333457,0.05227726578155159,0.04494119675281007,0.5599984649946205,2.518141525367731,1.0851721723565928,8.383664151447192,0.34838458389731886,8.383664151447192,0.0,0.15721827293195834,8.383664151447192,0.26997328090114475,6971.914976490854,247754500.0,214632588.67885748,0.2611219833621798,0.027328765264757696,0.1108444461092746,0.006235610687306392,0.005360567401194416,0.06679638579009076,0.30036288189491084,0.12943888886212956,1.0,0.041555169387025186,1.0,0.0,0.018752930710472134,1.0,0.0322023015264205
Mercantile,South Atlantic,VA,Dominion,12191,4.26380169736039,0.9928516814291182,4.066719169975061,0.0309988710129351,0.0,1.8656026037359401,2.4073819845085294,3.4729722736297863,18.831007593715867,0.0,18.831007593715867,0.0,0.47261343028353847,18.831007593715867,1.258019613597302,33405.60441565469,364316500.0,383517116.9427958,0.2264245116009231,0.052724299349783316,0.2159586601904496,0.0016461610383121399,0.0,0.09907077964104874,0.12784137930632566,0.1844283826208407,1.0,0.0,1.0,0.0,0.02509761774198717,1.0,0.06680575148921496
Office,South Atlantic,VA,Dominion,14362,6.293431412745339,0.8594501991516103,5.014935932074702,0.009827089423509835,0.16111453723206037,2.8702397621416176,9.140275842838413,4.167886727068456,29.87936746264536,0.7552217289621768,29.87936746264536,0.0,0.0,29.87936746264536,0.606978014513818,41331.94956036054,675500000.0,797691915.191287,0.21062800009448904,0.028764002458421492,0.16783942760315404,0.00032889215060511183,0.005392166933703762,0.09606092785364145,0.3059059350659086,0.13949046050854566,1.0,0.025275693332743446,1.0,0.0,0.0,1.0,0.02031428594573332
Warehouse and Storage,South Atlantic,VA,Dominion,5371,0.8122211936410191,0.5959762896546386,1.057896642904175,0.0,0.0,0.4073299089312906,2.609057963639209,1.3622669403007197,6.845448279204676,0.000687550446849561,6.845448279204676,0.0,0.0,6.845448279204676,0.0,38555.16227224256,367564500.0,412566033.48883975,0.11865127899781391,0.08706168907376229,0.1545401556999397,0.0,0.0,0.05950375962501837,0.38113763441396376,0.19900332085468506,1.0,0.00010043906824016537,1.0,0.0,0.0,1.0,0.0
Education,South Atlantic,VA,APCo,1281,0.43828785654612634,0.0567698484245543,0.2789956667910116,0.009535442701203467,0.002625169054526948,0.3320650762303493,0.13608413222544288,0.1654827325591398,1.5569303151181557,0.0361974052054158,1.5569303151181557,0.0,0.049656269730373966,1.5569303151181557,0.05122884491770518,1915.6111903758697,64250500.0,51583373.58173163,0.2815076900297009,0.036462677791874086,0.1791959884664707,0.0061245147638350275,0.0016861185301846498,0.21328191313761452,0.08740540980160402,0.1062878222308757,1.0,0.023249213438732978,1.0,0.0,0.03189370086008348,1.0,0.03290374939729876
Food Sales,South Atlantic,VA,APCo,322,0.03299361345565591,0.003767641529962104,0.03880462184538059,0.0003254432865980179,0.0,0.029214982786403384,0.08053796920587111,0.028791393316774976,0.33938527773987,0.0,0.33938527773987,0.0,0.12448331690445281,0.33938527773987,0.00046622358507448174,88.44193137818883,12654000.0,2956183.177667715,0.09721580639966551,0.011101369968233871,0.1143379645216176,0.0009589198705533177,0.0,0.08608205689109447,0.2373054298118417,0.08483394892233019,1.0,0.0,1.0,0.0,0.366790562435257,1.0,0.001373729550613654
